method,task,unit,rmse,crps
PCA MLE,period_holdout,T=6,0.6802442057903882,0.38040581928446116
PCA MLE,random_holdout,0,0.3731614005164185,0.1833608549560134
PCA MLE,random_holdout,1,0.3745026436440055,0.18515884617366207
PCA MLE,random_holdout,10,0.36736511551389656,0.18148654952856072
PCA MLE,random_holdout,11,0.36713400536693425,0.18011122646556071
PCA MLE,random_holdout,12,0.3703482544788602,0.18211628689421516
PCA MLE,random_holdout,13,0.3616084621973477,0.180570773868683
PCA MLE,random_holdout,14,0.3770765355739314,0.1867704833005878
PCA MLE,random_holdout,15,0.36300913177651345,0.18138479276344643
PCA MLE,random_holdout,16,0.3652236255173038,0.17995844039907924
PCA MLE,random_holdout,17,0.36974018245546353,0.18276480756650507
PCA MLE,random_holdout,18,0.36822833164328295,0.1822070151896789
PCA MLE,random_holdout,19,0.3707778159928473,0.18171487297445443
PCA MLE,random_holdout,2,0.37290846313543785,0.18448435531513552
PCA MLE,random_holdout,3,0.361463856552167,0.17841715151784315
PCA MLE,random_holdout,4,0.36678724202121143,0.18006772985012262
PCA MLE,random_holdout,5,0.36472828902672155,0.1811970228963886
PCA MLE,random_holdout,6,0.367546075224885,0.18003289859354185
PCA MLE,random_holdout,7,0.3644520272028515,0.1789250473317707
PCA MLE,random_holdout,8,0.3678867918550952,0.18117529955655612
PCA MLE,random_holdout,9,0.3667768737550799,0.18157855851031104
PCA MLE,station_holdout,0,0.7847302599905435,0.4341965064331568
PCA MLE,station_holdout,1,0.7776454311121102,0.4281002895325185
PCA MLE,station_holdout,10,0.8214361075928103,0.4363938309499965
PCA MLE,station_holdout,11,0.7881586848045725,0.42361792405406884
PCA MLE,station_holdout,12,0.8038722541650914,0.43619055016539715
PCA MLE,station_holdout,13,0.7945576214117573,0.42848417781981446
PCA MLE,station_holdout,14,0.8001587136412299,0.4292576304082373
PCA MLE,station_holdout,15,0.7963796271838277,0.4329902102611947
PCA MLE,station_holdout,16,0.8024213789421574,0.4371334789471976
PCA MLE,station_holdout,17,0.7658847542042283,0.42573206294437493
PCA MLE,station_holdout,18,0.7468682157782573,0.4157555780115724
PCA MLE,station_holdout,19,0.7681222077957736,0.4251763264303395
PCA MLE,station_holdout,2,0.8187110538610862,0.4467740874382749
PCA MLE,station_holdout,3,0.8267540233421397,0.44347461320406223
PCA MLE,station_holdout,4,0.7714872843992122,0.4240666074260046
PCA MLE,station_holdout,5,0.7777737393093446,0.4220870141370515
PCA MLE,station_holdout,6,0.8049883404154882,0.4418306193535234
PCA MLE,station_holdout,7,0.8132213752120012,0.43304125368598273
PCA MLE,station_holdout,8,0.7999467928439697,0.434272381181291
PCA MLE,station_holdout,9,0.8267106808542654,0.4400245570359036
PCA semivariogram,period_holdout,T=0.01,0.08105497410284392,0.038760174731558406
PCA semivariogram,period_holdout,T=0.03,0.07544498432447905,0.035471171121930795
PCA semivariogram,period_holdout,T=0.06,0.22002229214219907,0.11113679344453432
PCA semivariogram,period_holdout,T=0.1,0.35066503082501904,0.19032772629900582
PCA semivariogram,period_holdout,T=0.3,0.4781436657278864,0.26716654272835055
PCA semivariogram,period_holdout,T=0.6,0.44034512066369186,0.2459158710192573
PCA semivariogram,period_holdout,T=1,0.4975948293733286,0.2781512430930343
PCA semivariogram,period_holdout,T=3,0.5764375031751002,0.32245156645548273
PCA semivariogram,period_holdout,T=6,0.681186783145831,0.3810532800901942
PCA semivariogram,random_holdout,0,0.3758850556435545,0.1853715611730342
PCA semivariogram,random_holdout,1,0.37639217496401306,0.18675618526114604
PCA semivariogram,random_holdout,10,0.3717451854250952,0.18392390117566823
PCA semivariogram,random_holdout,11,0.36993685206258436,0.1818613513792134
PCA semivariogram,random_holdout,12,0.3747738789768546,0.18463593302673614
PCA semivariogram,random_holdout,13,0.3643262559466947,0.1823263983078867
PCA semivariogram,random_holdout,14,0.3794626642229541,0.18841505789911675
PCA semivariogram,random_holdout,15,0.3648308393414477,0.18287995935429516
PCA semivariogram,random_holdout,16,0.3675512814160649,0.1814341387935965
PCA semivariogram,random_holdout,17,0.3723239354941973,0.1848426393366007
PCA semivariogram,random_holdout,18,0.37116078952247633,0.18401869747975558
PCA semivariogram,random_holdout,19,0.37266483712761006,0.1833401349378212
PCA semivariogram,random_holdout,2,0.37565734753122276,0.18655274732134353
PCA semivariogram,random_holdout,3,0.3640815369083893,0.1803897206394148
PCA semivariogram,random_holdout,4,0.37012922857830316,0.18222988265421713
PCA semivariogram,random_holdout,5,0.3664547188350558,0.18269487099239537
PCA semivariogram,random_holdout,6,0.3685067149931113,0.18127564299089896
PCA semivariogram,random_holdout,7,0.36693173004123436,0.18063026695342982
PCA semivariogram,random_holdout,8,0.3699770074974902,0.18256292840739086
PCA semivariogram,random_holdout,9,0.3706980030176405,0.18364462703457596
PCA semivariogram,station_holdout,0,0.788306175973567,0.43525101991961895
PCA semivariogram,station_holdout,1,0.781809746393028,0.42955096463464204
PCA semivariogram,station_holdout,10,0.8258257809900375,0.4381803090284621
PCA semivariogram,station_holdout,11,0.7902538627680458,0.4244791031553227
PCA semivariogram,station_holdout,12,0.8082937172946132,0.4394678113027449
PCA semivariogram,station_holdout,13,0.7968673442873129,0.42972932447005446
PCA semivariogram,station_holdout,14,0.8056842309956193,0.43140952041891834
