display_name,model,n_events,rep,rmse
Pairwise empirical semivariogram,pairwise,100,5,0.0223969468282742
Pairwise empirical semivariogram,pairwise,100,6,0.013488977853558
Pairwise empirical semivariogram,pairwise,100,7,0.0241543583360977
Pairwise empirical semivariogram,pairwise,100,8,0.0277042350412109
Pairwise empirical semivariogram,pairwise,100,9,0.0103066755813516
Pairwise empirical semivariogram,pairwise,100,10,0.0243909878364514
Pairwise empirical semivariogram,pairwise,100,11,0.0142432319774363
Pairwise empirical semivariogram,pairwise,100,12,0.0146703404491453
Pairwise empirical semivariogram,pairwise,100,13,0.0073272207957391
Pairwise empirical semivariogram,pairwise,100,14,0.0119002055799354
Pairwise empirical semivariogram,pairwise,100,15,0.0097937631869889
Pairwise empirical semivariogram,pairwise,100,16,0.031192729808897
Pairwise empirical semivariogram,pairwise,100,17,0.0140047970196815
Pairwise empirical semivariogram,pairwise,100,18,0.0216842980224071
Pairwise empirical semivariogram,pairwise,100,19,0.016889511509252
Pairwise empirical semivariogram,pairwise,100,20,0.0106264695870884
Pairwise empirical semivariogram,pairwise,100,21,0.0083904461847654
Pairwise empirical semivariogram,pairwise,100,22,0.0137400830193107
Pairwise empirical semivariogram,pairwise,100,23,0.0205732750848908
Pairwise empirical semivariogram,pairwise,100,24,0.0142659038262131
Pairwise empirical semivariogram,pairwise,100,25,0.0173712275510431
Pairwise empirical semivariogram,pairwise,100,26,0.0131748065046591
Pairwise empirical semivariogram,pairwise,100,27,0.013431725082632
Pairwise empirical semivariogram,pairwise,100,28,0.0092463041245643
Pairwise empirical semivariogram,pairwise,100,29,0.0062804775163887
Pairwise empirical semivariogram,pairwise,100,30,0.0142098146676244
Pairwise empirical semivariogram,pairwise,100,31,0.0221884961314048
Pairwise empirical semivariogram,pairwise,100,32,0.0159740372840338
Pairwise empirical semivariogram,pairwise,100,33,0.0254905773665758
Pairwise empirical semivariogram,pairwise,100,34,0.0441626315776259
Pairwise empirical semivariogram,pairwise,100,35,0.0165059351394555
Pairwise empirical semivariogram,pairwise,100,36,0.008334815442103
Pairwise empirical semivariogram,pairwise,100,37,0.0202783296754221
Pairwise empirical semivariogram,pairwise,100,38,0.00893073766475
Pairwise empirical semivariogram,pairwise,100,39,0.0109342240154169
Pairwise empirical semivariogram,pairwise,100,40,0.0156664540290478
Pairwise empirical semivariogram,pairwise,100,41,0.0189051575023355
Pairwise empirical semivariogram,pairwise,100,42,0.0263704313615247
Pairwise empirical semivariogram,pairwise,100,43,0.0500998450390022
Pairwise empirical semivariogram,pairwise,100,44,0.00539117718361
Pairwise empirical semivariogram,pairwise,100,45,0.0179834255031457
Pairwise empirical semivariogram,pairwise,100,46,0.0235347940046773
Pairwise empirical semivariogram,pairwise,100,47,0.0143561651279722
Pairwise empirical semivariogram,pairwise,100,48,0.0290388036153348
Pairwise empirical semivariogram,pairwise,100,49,0.0158432980434494
Pairwise empirical semivariogram,pairwise,100,50,0.0100486332529576
Pairwise empirical semivariogram,pairwise,100,51,0.0341751459748893
Pairwise empirical semivariogram,pairwise,100,52,0.0079185774455217
Pairwise empirical semivariogram,pairwise,100,53,0.0212145680073706
Pairwise empirical semivariogram,pairwise,100,54,0.0227681252244243
Pairwise empirical semivariogram,pairwise,100,55,0.028351184245804
Pairwise empirical semivariogram,pairwise,100,56,0.0353326598435912
Pairwise empirical semivariogram,pairwise,100,57,0.0196104693395735
Pairwise empirical semivariogram,pairwise,100,58,0.0244557761600275
Pairwise empirical semivariogram,pairwise,100,59,0.0175019510189828
Pairwise empirical semivariogram,pairwise,100,60,0.0127947468953557
Pairwise empirical semivariogram,pairwise,100,61,0.0270816913665252
Pairwise empirical semivariogram,pairwise,100,62,0.0073653894710023
Pairwise empirical semivariogram,pairwise,100,63,0.0078888050997721
Pairwise empirical semivariogram,pairwise,100,64,0.048098130443435
Pairwise empirical semivariogram,pairwise,100,65,0.0127356720219309
Pairwise empirical semivariogram,pairwise,100,66,0.0143942942414942
Pairwise empirical semivariogram,pairwise,100,67,0.0100898179965401
Pairwise empirical semivariogram,pairwise,100,68,0.0138241402238808
Pairwise empirical semivariogram,pairwise,100,69,0.0107174123865557
Pairwise empirical semivariogram,pairwise,100,70,0.0308062988512911
Pairwise empirical semivariogram,pairwise,100,71,0.0095643610796955
Pairwise empirical semivariogram,pairwise,100,72,0.0315459952512501
Pairwise empirical semivariogram,pairwise,100,73,0.0296975831376097
Pairwise empirical semivariogram,pairwise,100,74,0.0099432555678863
Pairwise empirical semivariogram,pairwise,100,75,0.0286297722068799
Pairwise empirical semivariogram,pairwise,100,76,0.0203073668330938
Pairwise empirical semivariogram,pairwise,100,77,0.0292158812735503
Pairwise empirical semivariogram,pairwise,100,78,0.0095653966703834
Pairwise empirical semivariogram,pairwise,100,79,0.0142339823513935
Pairwise empirical semivariogram,pairwise,100,80,0.0276197075164122
Pairwise empirical semivariogram,pairwise,100,81,0.0047589561102986
Pairwise empirical semivariogram,pairwise,100,82,0.0177679283563057
Pairwise empirical semivariogram,pairwise,100,83,0.012296325032882
Pairwise empirical semivariogram,pairwise,100,84,0.02046766865115
Pairwise empirical semivariogram,pairwise,100,85,0.0221470297256304
Pairwise empirical semivariogram,pairwise,100,86,0.0198243512079698
Pairwise empirical semivariogram,pairwise,100,87,0.0252620130235517
Pairwise empirical semivariogram,pairwise,100,88,0.0058385039138083
Pairwise empirical semivariogram,pairwise,100,89,0.0201346289834056
Pairwise empirical semivariogram,pairwise,100,90,0.0057069645172483
Pairwise empirical semivariogram,pairwise,100,91,0.0108339597165682
Pairwise empirical semivariogram,pairwise,100,92,0.0067321680175252
Pairwise empirical semivariogram,pairwise,100,93,0.0388584346839787
Pairwise empirical semivariogram,pairwise,120,0,0.0095357688287744
Pairwise empirical semivariogram,pairwise,120,1,0.0096179773603302
Pairwise empirical semivariogram,pairwise,120,2,0.0052268721399838
Pairwise empirical semivariogram,pairwise,120,3,0.0062111012247295
Pairwise empirical semivariogram,pairwise,120,4,0.0058687919587808
Pairwise empirical semivariogram,pairwise,120,5,0.0036059858781726
Pairwise empirical semivariogram,pairwise,120,6,0.0045331682834862
Pairwise empirical semivariogram,pairwise,120,7,0.0024841372472395
Pairwise empirical semivariogram,pairwise,120,8,0.0032162802634888
Pairwise empirical semivariogram,pairwise,120,9,0.0025130507620551
Pairwise empirical semivariogram,pairwise,120,10,0.0082988104811974
Pairwise empirical semivariogram,pairwise,120,11,0.0045501608756876
Pairwise empirical semivariogram,pairwise,120,12,0.0113593414371797
Pairwise empirical semivariogram,pairwise,120,13,0.0086330909830854
Pairwise empirical semivariogram,pairwise,120,14,0.005209229913849
Pairwise empirical semivariogram,pairwise,120,15,0.0104543046356684
Pairwise empirical semivariogram,pairwise,120,16,0.0048999534186873
Pairwise empirical semivariogram,pairwise,120,17,0.0242699455815024
Pairwise empirical semivariogram,pairwise,120,18,0.0043487396947754
Pairwise empirical semivariogram,pairwise,120,19,0.0028389570707034
Pairwise empirical semivariogram,pairwise,120,20,0.0270242014189649
Pairwise empirical semivariogram,pairwise,120,21,0.0189511747180516
Pairwise empirical semivariogram,pairwise,120,22,0.0184657112406805
Pairwise empirical semivariogram,pairwise,120,23,0.0120837477277964
Pairwise empirical semivariogram,pairwise,120,24,0.0012706380858254
Pairwise empirical semivariogram,pairwise,120,25,0.0017840689157209
Pairwise empirical semivariogram,pairwise,120,26,0.0240003796858335
Pairwise empirical semivariogram,pairwise,120,27,0.0234113022191347
Pairwise empirical semivariogram,pairwise,120,28,0.0031122396438254
Pairwise empirical semivariogram,pairwise,120,29,0.0052405430029114
Pairwise empirical semivariogram,pairwise,120,30,0.002218454888088
Pairwise empirical semivariogram,pairwise,120,31,0.004345865252787
Pairwise empirical semivariogram,pairwise,120,32,0.0051077927547083
Pairwise empirical semivariogram,pairwise,120,33,0.0072036605385222
Pairwise empirical semivariogram,pairwise,120,34,0.008441444357958
Pairwise empirical semivariogram,pairwise,120,35,0.0050779640132336
Pairwise empirical semivariogram,pairwise,120,36,0.0141986196182283
Pairwise empirical semivariogram,pairwise,120,37,0.0021859001560638
Pairwise empirical semivariogram,pairwise,120,38,0.0093154908344098
Pairwise empirical semivariogram,pairwise,120,39,0.0047498385029626
Pairwise empirical semivariogram,pairwise,120,40,0.0177336561316706
Pairwise empirical semivariogram,pairwise,120,41,0.0020448590446896
Pairwise empirical semivariogram,pairwise,120,42,0.0055679268227063
Pairwise empirical semivariogram,pairwise,120,43,0.012374242920632
Pairwise empirical semivariogram,pairwise,120,44,0.0068049936463401
