eqid,_lmc_source_pos,_source_index,_lmc_selected_rank,_lmc_event_rows_available,_lmc_event_rows_selected,station_latitude,station_longitude,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600
1020,7130,7130,8,85,80,33.684,-117.943,1.0176003521612034,0.9950585899155048,0.8415587917801525,0.8284192866477762,1.3067382574549382,0.9779865141034468,0.5958597451359248,,
1020,7111,7111,9,85,80,34.63745,-115.38115,-1.1745014150712356,-1.2067357756012476,-0.9931670668494494,-0.3519086670816405,-1.2711189714501747,-0.0300105213284042,-0.4394109199944758,,
1020,7155,7155,10,85,80,34.05073,-118.08085,0.9808907809460388,0.9707873005592064,0.9435934675948512,1.3235353682886508,0.3542461565918745,0.119135324263086,0.2726312831004096,,
1020,7175,7175,11,85,80,34.1717,-118.64971,2.724815594452375,3.2387248236780057,2.452634875885317,2.120615522444187,2.6625631329722643,1.4097067350682233,0.927704764135052,,
1020,7146,7146,12,85,80,33.354,-116.863,1.1485852915323862,1.101422291785784,1.2998205291882243,0.8568543890118487,1.2078605109654772,1.3505694300726674,0.75297658585821,,
1020,7106,7106,13,85,80,33.38822,-117.19495,2.5954278592295603,2.4424153630764827,2.836535986967282,2.4288189761122374,2.452980324959809,1.5298404932099383,1.5371921284213623,,
1020,7162,7162,14,85,80,35.89095,-117.28332,1.899871442029349,1.909043348377295,1.6489256917937671,1.1034087324567374,1.7195882454464275,1.7700834971778705,0.881383583211673,,
1020,7092,7092,15,85,80,33.63461,-116.09534,-5.657825362097843,-5.204856420074332,-4.909839539583023,-5.42185420914903,-4.221585217389185,-3.925174254932338,-4.29638594731426,,
1020,7119,7119,16,85,80,33.71264,-118.29381,-1.3705299877966677,-1.3430483416516117,-1.5690506865197114,-2.028008042721509,-0.6817840249288213,-0.505397140513191,-0.3209066532683169,,
1020,7114,7114,17,85,80,33.65,-117.009,1.610908112193727,1.4213957128180752,1.924407641156536,1.9342689947445808,0.3395235199191277,-0.1630663136527057,-0.3382075022266148,,
